Date,Open,2. high,3. low,Close,Adj_Close,6. volume,7. dividend amount,8. split coefficient,Adj_Open
2019-04-12,270.22,271.95,266.83,267.7,53.54,6746000.0,0.0,1.0,54.04400000000001
2019-04-15,268.63,268.88,258.63,266.38,53.276,10034300.0,0.0,1.0,53.726
2019-04-16,265.75,275.0,264.72,273.36,54.672,7272900.0,0.0,1.0,53.15
2019-04-17,274.75,274.79,268.54,271.23,54.246,5126500.0,0.0,1.0,54.949999999999996
2019-04-18,271.23,274.84,269.75,273.26,54.652,5876300.0,0.0,1.0,54.24600000000001
2019-04-22,269.0,269.68,262.48,262.75,52.55,12147100.0,0.0,1.0,53.8
2019-04-23,260.15,265.6,255.75,263.9,52.78,10935400.0,0.0,1.0,52.03
2019-04-24,263.85,265.32,258.0,258.66,51.732,10727500.0,0.0,1.0,52.77
2019-04-25,255.0,259.0,246.07,247.63,49.526,21835300.0,0.0,1.0,51.0
2019-04-26,246.5,246.68,231.13,235.14,47.028,22360700.0,0.0,1.0,49.300000000000004
2019-04-29,235.86,243.98,232.17,241.47,48.294,16714500.0,0.0,1.0,47.172
2019-04-30,242.06,244.21,237.0,238.69,47.738,9464600.0,0.0,1.0,48.412000000000006
2019-05-01,238.85,240.0,231.5,234.01,46.802,10704400.0,0.0,1.0,47.77
2019-05-02,245.52,247.13,237.72,244.1,48.82,18159300.0,0.0,1.0,49.104000000000006
2019-05-03,243.86,256.61,243.49,255.03,51.006,23706800.0,0.0,1.0,48.772000000000006
2019-05-06,250.02,258.35,248.5,255.34,51.068,10833900.0,0.0,1.0,50.004
2019-05-07,256.8,257.21,245.1,247.06,49.412,10131400.0,0.0,1.0,51.36
2019-05-08,246.94,250.6,244.2,244.84,48.968,6176400.0,0.0,1.0,49.388000000000005
2019-05-09,242.0,243.68,236.94,241.98,48.396,6711400.0,0.0,1.0,48.400000000000006
2019-05-10,239.75,241.99,236.02,239.52,47.904,7008300.0,0.0,1.0,47.95
2019-05-13,232.01,232.47,224.5,227.01,45.402,10834800.0,0.0,1.0,46.402
