Date,Open,2. high,3. low,Close,Adj_Close,6. volume,7. dividend amount,8. split coefficient,Adj_Open
2019-10-21,42.23,42.58,41.94,42.41,41.5686458139,151114.0,0.0,1.0,41.39221675833523
2019-10-22,42.63,42.74,41.88,41.93,41.0981683324,186682.0,0.0,1.0,41.784281326263105
2019-10-23,41.9,42.194,41.66,41.76,40.931540891,143128.0,0.0,1.0,41.06876348977251
2019-10-24,42.55,42.73,42.19,42.65,41.8038845546,239614.0,0.0,1.0,41.705868412619694
2019-10-25,42.46,43.58,42.197,43.52,42.6566249899,176488.0,0.0,1.0,41.617653884907035
2019-10-28,43.74,44.761,43.74,44.64,43.75440578,239383.0,0.0,1.0,42.87226050217742
2019-10-29,44.48,44.65,44.177,44.32,43.4407541257,401505.0,0.0,1.0,43.59757995286859
2019-10-30,44.32,44.38,43.95,44.37,43.4897621967,178414.0,0.0,1.0,43.4407541257098
2019-10-31,44.28,44.66,43.841,44.23,43.3525395979,157041.0,0.0,1.0,43.40154766889017
2019-11-01,44.6,45.242,44.404,45.23,44.3327010177,353997.0,0.0,1.0,43.71519932322398
2019-11-04,45.63,45.83,45.209,45.48,44.5777413727,125146.0,0.0,1.0,44.72476558567065
2019-11-05,45.62,45.92,45.36,45.39,44.4895268449,222522.0,0.0,1.0,44.7149639714549
2019-11-06,45.4,45.402,45.057,45.22,44.3228994035,260581.0,0.0,1.0,44.49932845906457
2019-11-07,45.55,45.9,45.125,45.21,44.3130977893,236536.0,0.0,1.0,44.64635267203307
2019-11-08,45.17,45.85,45.058,45.85,44.940401098,132737.0,0.0,1.0,44.27389133253348
2019-11-11,45.55,46.385,45.5,46.32,45.4010769653,136163.0,0.0,1.0,44.64635267205127
2019-11-12,46.47,46.9,46.3,46.65,45.7245302339,140534.0,0.0,1.0,45.54810117833511
2019-11-13,46.45,46.64,46.161,46.37,45.4500850363,159299.0,0.0,1.0,45.528497949884304
2019-11-14,46.31,46.722,46.31,46.56,45.6363157061,132027.0,0.0,1.0,45.39127535114886
2019-11-15,46.99,47.48,46.866,47.4,46.4596512987,270405.0,0.0,1.0,46.05778511658045
2019-11-18,47.41,47.5,47.01,47.4,46.4596512987,278911.0,0.0,1.0,46.46945291289804
2019-11-19,47.71,48.702,47.71,48.45,47.4888207895,232865.0,0.0,1.0,46.763501338845096
2019-11-20,48.15,48.79,47.749,48.43,47.4692175611,213325.0,0.0,1.0,47.194772363554925
2019-11-21,48.41,48.55,48.0,48.15,47.1947723636,145803.0,0.0,1.0,47.44961433274924
2019-11-22,48.26,48.42,48.0,48.42,47.4594159469,196697.0,0.0,1.0,47.30259011973139
2019-11-25,48.89,49.75,48.75,49.67,48.6846177217,205666.0,0.0,1.0,47.920091814252324
2019-11-26,49.98,50.128,49.7,50.0,49.0080709902,168746.0,0.0,1.0,48.98846776180392
2019-11-27,50.3,50.466,49.96,50.23,49.2335081168,130673.0,0.0,1.0,49.30211941618634
2019-11-29,50.01,50.45,50.01,50.43,49.4295404007,75428.0,0.0,1.0,49.017872604382454
2019-12-02,50.32,50.43,48.72,48.96,47.9887031136,207281.0,0.0,1.0,49.32172264453333
2019-12-03,48.32,49.09,48.13,49.09,48.1161240982,187556.0,0.0,1.0,47.36139980495057
2019-12-04,49.44,49.45,49.091,49.19,48.2141402402,131857.0,0.0,1.0,48.45918059515122
2019-12-05,49.26,49.26,48.64,48.96,47.9887031136,222729.0,0.0,1.0,48.282751539541174
2019-12-06,49.55,49.59,49.32,49.46,48.4787838235,126241.0,0.0,1.0,48.56699835128235
2019-12-09,49.49,49.72,49.01,49.05,48.0769176414,173182.0,0.0,1.0,48.50818866611389
2019-12-10,49.26,49.35,48.96,49.26,48.2827515395,182582.0,0.0,1.0,48.2827515395
2019-12-11,49.45,49.45,48.89,48.97,47.9985047278,139402.0,0.0,1.0,48.4689822093059
2019-12-12,49.05,49.55,48.83,49.4,48.4199741383,147358.0,0.0,1.0,48.07691764136872
2019-12-13,49.4,49.74,48.97,49.1,48.1259257124,173477.0,0.0,1.0,48.41997413834134
2019-12-16,49.76,50.43,49.55,50.23,49.2335081168,250733.0,0.0,1.0,48.7728322494917
2019-12-17,50.23,50.4,49.7,50.18,49.1845000458,193271.0,0.0,1.0,49.23350811679023
2019-12-18,50.32,50.8,50.3,50.54,49.5373581569,241851.0,0.0,1.0,49.321722644543094
2019-12-19,50.68,50.993,50.559,50.87,49.8608114254,174388.0,0.0,1.0,49.67458075563735
2019-12-20,51.19,51.3,50.859,50.96,49.9490259532,345298.0,0.0,1.0,50.17446307975486
2019-12-23,51.26,51.74,50.912,51.59,50.5665276477,303687.0,0.0,1.0,50.2430743791646
2019-12-24,51.64,51.82,51.4,51.82,50.7919647742,84227.0,0.0,1.0,50.61553571863543
2019-12-26,51.87,52.01,51.67,51.77,50.7429567033,184085.0,0.0,1.0,50.84097284528049
2019-12-27,51.84,51.91,51.0,51.14,50.31266584,175753.0,0.191,1.0,51.00134135990614
2019-12-30,51.06,51.16,49.58,49.74,48.9353148001,307127.0,0.0,1.0,50.2339600662064
2019-12-31,49.49,50.235,49.35,50.05,49.2402996732,192665.0,0.0,1.0,48.68935925727609
2020-01-02,50.64,50.64,49.9,50.5,49.6830196503,248423.0,0.0,1.0,49.820754754281026
2020-01-03,49.74,50.45,49.74,50.13,49.3190054469,264083.0,0.0,1.0,48.93531480009587
2020-01-06,49.52,50.56,49.43,50.52,49.7026960938,296968.0,0.0,1.0,48.718873922505466
2020-01-07,50.66,51.302,50.53,51.14,50.31266584,229991.0,0.0,1.0,49.84043119777864
2020-01-08,51.11,52.51,51.106,52.29,51.4440613369,378759.0,0.0,1.0,50.28315117477451
2020-01-09,52.73,52.845,52.021,52.35,51.5030906672,290151.0,0.0,1.0,51.87694309229142
2020-01-10,52.53,52.53,51.86,51.97,51.1292382421,227722.0,0.0,1.0,51.68017865802411
2020-01-13,52.53,53.11,52.3,53.04,52.1819279654,345482.0,0.0,1.0,51.68017865804038
2020-01-14,53.18,53.7,52.555,53.26,52.3983688431,351739.0,0.0,1.0,52.319663069396505
2020-01-15,53.2,54.035,53.15,53.43,52.5656186122,335329.0,0.0,1.0,52.339339512802546
2020-01-16,53.65,54.01,53.32,54.01,53.1362354716,264928.0,0.0,1.0,52.78205948993409
2020-01-17,54.17,54.17,53.504,53.67,52.8017359333,337375.0,0.0,1.0,53.293647018946544
